=== PER-NEFF ENGINE UTILIZATION (760 NEFFs, by wall time) ===
neff              tot_us  %oftot  tensor%  gpsimd%  vector%    dma%  class
b6041713a3964f    7285.6    4.7%      5.9     89.4      1.2    47.6  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
9eadc5d102904e    5828.4    3.8%      5.8     89.5      1.2    47.6  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
1072ae8772648e    4492.1    2.9%     69.2      3.6      1.7    96.8  COMPUTE-BOUND (matmul-hot)
0ce8b46a0b1241    4444.4    2.9%     71.2      3.3      1.6    97.8  COMPUTE-BOUND (matmul-hot)
41dc09ec92d0f4    4274.7    2.8%     72.6      3.5      1.6    97.3  COMPUTE-BOUND (matmul-hot)
2e477c2932dabf    4050.6    2.6%     66.1      2.2      2.3    39.6  COMPUTE-BOUND (matmul-hot)
3e7e69e06b10d4    4031.5    2.6%     66.7      4.7      2.5    40.6  COMPUTE-BOUND (matmul-hot)
53780211ad667f    3793.2    2.5%     71.1      4.9      2.6    37.8  COMPUTE-BOUND (matmul-hot)
c9dd13a421a2e1    3729.7    2.4%     50.6      6.6      4.7    54.7  COMPUTE-BOUND (matmul-hot)
a17a415fb31493    3652.4    2.4%     73.3      1.9      2.6    33.2  COMPUTE-BOUND (matmul-hot)
286e91cf3a9559    3643.7    2.4%     73.8      1.8      2.4    33.4  COMPUTE-BOUND (matmul-hot)
f9b98abb1375e2    3621.4    2.4%     74.6      5.5      2.6    37.1  COMPUTE-BOUND (matmul-hot)
7dfcdac7053319    3226.8    2.1%     59.0      7.4      5.1    48.8  COMPUTE-BOUND (matmul-hot)
8e7f535e3f39d8    3194.1    2.1%     59.1      7.6      5.1    50.7  COMPUTE-BOUND (matmul-hot)
0f1fd29313492e    2200.6    1.4%     62.3      3.4     86.9    17.1  COMPUTE-BOUND (matmul-hot)
32235749cc4839    2093.2    1.4%     65.5      8.3      3.6    43.9  COMPUTE-BOUND (matmul-hot)
12929beecb475f    1964.6    1.3%     70.9      8.6      4.1    36.0  COMPUTE-BOUND (matmul-hot)
d509f223f6f720    1885.2    1.2%     72.6      9.0      3.8    39.8  COMPUTE-BOUND (matmul-hot)
7679526b3f386a    1662.8    1.1%     39.6     35.1     39.8    87.3  MIXED
13fba11a1204f7    1552.6    1.0%     58.0      2.7      2.8    46.9  COMPUTE-BOUND (matmul-hot)
7275a633c90305    1387.0    0.9%     64.8      2.7      3.1    40.7  COMPUTE-BOUND (matmul-hot)
1a504685efec00    1381.0    0.9%     65.0      6.4      3.3    45.0  COMPUTE-BOUND (matmul-hot)
931abd0191d3c9    1375.0    0.9%     65.7      2.7      2.9    39.6  COMPUTE-BOUND (matmul-hot)
b1c2fb53036f69    1322.5    0.9%      0.2      5.4     12.4    30.7  MIXED
051ad37886e875    1300.2    0.8%     79.1      7.8     21.4    60.5  COMPUTE-BOUND (matmul-hot)
7843ac61d0c2e6    1296.2    0.8%     69.3      6.9      3.4    40.1  COMPUTE-BOUND (matmul-hot)
915fc3910fa13b    1265.9    0.8%     28.5     15.3      9.5    89.3  MIXED
7b8d8aa2f755f8    1235.6    0.8%     58.3     24.0     63.6    80.9  COMPUTE-BOUND (matmul-hot)
25941bb9bd697c    1231.0    0.8%     73.3      7.0      3.4    38.6  COMPUTE-BOUND (matmul-hot)
777bde4fbc06d3    1105.3    0.7%     55.4      7.7      5.8    50.0  COMPUTE-BOUND (matmul-hot)
1698fbcdaf5dcd    1051.9    0.7%     58.3     26.5     64.4    83.1  COMPUTE-BOUND (matmul-hot)
101f747941ab83    1034.6    0.7%     80.5      9.6     21.4    57.0  COMPUTE-BOUND (matmul-hot)
28431fab8af4ba     995.1    0.6%     62.1      8.7      6.1    42.7  COMPUTE-BOUND (matmul-hot)
dc55f4ad811a3f     987.8    0.6%     92.7      7.2      4.2    10.1  COMPUTE-BOUND (matmul-hot)
21d6ff7bb38b28     987.5    0.6%     93.9      6.6      3.4     9.8  COMPUTE-BOUND (matmul-hot)
1d798d134b85f1     985.8    0.6%     93.1      6.8      3.5    10.5  COMPUTE-BOUND (matmul-hot)
114061d01c7e06     971.1    0.6%     39.0     35.3     39.8    86.9  MIXED
6b1fd55d903fbf     953.2    0.6%     65.4      9.1      6.2    43.3  COMPUTE-BOUND (matmul-hot)
76e798bee7a176     931.3    0.6%     56.9      8.4     59.2    22.1  COMPUTE-BOUND (matmul-hot)
248e114c98a47b     913.7    0.6%     58.0     28.8     60.4    85.0  COMPUTE-BOUND (matmul-hot)
00f4f0b6e86b71     891.0    0.6%     90.8      4.7      5.0    12.4  COMPUTE-BOUND (matmul-hot)
6ce4d1b4cff1aa     875.4    0.6%     92.1      4.7      4.7    12.3  COMPUTE-BOUND (matmul-hot)
862789e4a20f6b     874.4    0.6%     92.2      4.5      4.9    12.4  COMPUTE-BOUND (matmul-hot)
c5feec5b1a671b     873.1    0.6%     32.9     17.9     11.5    80.5  MIXED
e352a5e0935aa2     861.5    0.6%      0.2     33.4     75.1    78.2  OVERHEAD-BOUND (dma/stall) <- OPTIMIZE
371be1df3b706f     755.1    0.5%     55.2     32.7     62.5    83.5  COMPUTE-BOUND (matmul-hot)
